ELECTION	ELECTION	ELECTION	OFFICE TYPE	OFFICE	US CONGRESS	STATE SENATE	STATE ASSEMBLY	COURT OF APPEALS	COUNTY	COUNTY	MUNICIPALITY	MUNICIPALITY	MUNICIPALITY	HINDI	ORDER	REPORTING UNIT	Robert L. Cowles	Scattering 	
DATE	TYPE	SUBTYPE	KEYWORD	NAME	DISTRICT	DISTRICT	DISTRICT	DISTRICT	NUMBER	NAME	TYPE	NUMBER	NAME	NUMBER	NUMBER	NAME	Republican		
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	2	Ward 2	672	2	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	3	Ward 3	902	5	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	4	Ward 4	464	6	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	5	Ward 5	627	6	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	6	Ward 6	652	5	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	7	Ward 7	685	4	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	8	Ward 8	704	6	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	9	Ward 9	691	2	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	10	Ward 10	839	11	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	11	Ward 11	694	2	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	12	Ward 12	817	6	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	13	Ward 13	702	5	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	14	Ward 14	675	4	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	15	Ward 15	1426	11	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	16	Ward 16	810	5	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	17	Ward 17	1413	6	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	18	Ward 18	981	6	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	19	Ward 19	883	6	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	20	Ward 20	701	13	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	21	Ward 21	744	3	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	22	Ward 22	652	9	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	23	Ward 23	636	7	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	12	1	41	Milwaukee	City	251	Milwaukee	41251	24	Ward 24	606	5	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	12	1	41	Milwaukee	City	251	Milwaukee	41251	25	Ward 25	751	4	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	26	Ward 26	1106	13	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	27	Ward 27	1128	19	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	28	Ward 28	633	10	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	41	Ward 41	1136	14	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	48	Ward 48	984	17	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	12	1	41	Milwaukee	City	251	Milwaukee	41251	74	Ward 74	790	3	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	12	1	41	Milwaukee	City	251	Milwaukee	41251	75	Ward 75	797	13	
